ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q2,Q5,introtime_1,introtime_2,introtime_3,introtime_4,f1,sen01p,f2,sen02n,f3,sen03p,f4,sen04n,f5,sen05n,f6,sen06p,f7,sen07p,f8,sen08n,f1,sen09n,f2,sen10p,f3,sen11n,f4,sen12p,f5,sen13p,f6,sen14n,f7,sen15n,f8,sen16p,f1,sen17p,f2,sen18n,f3,sen19p,f4,sen20n,f5,sen21n,f6,sen22p,f7,sen23p,f8,sen24n,f1,sen25n,f2,sen26p,f3,sen27n,f4,sen28p,f5,sen29p,f6,sen30n,f7,sen31n,f8,sen32p,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9,sen10,sen11,sen12,sen13,sen14,sen15,sen16,sen17,sen18,sen19,sen20,sen21,sen22,sen23,sen24,sen25,sen26,sen27,sen28,sen29,sen30,sen31,sen32,team_inst,team1,team2,team3,team4,team5,team6,team7,team8,Q140,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,sex,age,DO-BR-FL_19,DO-BR-FL_37,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Presentation2,DO-BL-Presentation2inverse,DO-BL-Recall1,DO-BL-Recall1inverse,DO-BL-Recall2,DO-BL-Recall2inverse,DO-BL-Team,DO-BL-Competence,DO-Q-sen1,DO-Q-sen2,DO-Q-sen26,DO-Q-sen18,DO-Q-sen31,DO-Q-sen23,DO-Q-sen9,DO-Q-sen5,DO-Q-sen13,DO-Q-sen15,DO-Q-sen7,DO-Q-sen25,DO-Q-sen17,DO-Q-sen10,DO-Q-sen20,DO-Q-sen28,DO-Q-sen3,DO-Q-sen11,DO-Q-sen19,DO-Q-sen27,DO-Q-sen8,DO-Q-sen16,DO-Q-sen4,DO-Q-sen12,DO-Q-sen21,DO-Q-sen14,DO-Q-sen29,DO-Q-sen6,DO-Q-sen30,DO-Q-sen22,DO-Q-sen24,DO-Q-sen32,LocationLatitude,LocationLongitude,LocationAccuracy
R_cucddkrVjMBhvRb,Default Response Set,Anonymous,,,186.159.134.98,0,2/23/2016 18:41,2/23/2016 18:41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.933303833,-84.08329773,-1
R_3qSP81woZNQxtQ1,Default Response Set,Anonymous,,,88.48.78.170,0,2/23/2016 18:43,2/23/2016 18:43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.61959839,12.69760132,-1
R_daqU1X4jleE5SOp,Default Response Set,Anonymous,,,208.70.93.74,0,2/23/2016 18:43,2/23/2016 18:43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30000305,-62.71669769,-1
R_8fgQaXOQdueVCpD,Default Response Set,Anonymous,,,77.29.57.233,0,2/23/2016 18:43,2/23/2016 18:43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.74229431,22.19790649,-1
R_1zcWawsil8i3zmZ,Default Response Set,Anonymous,,,72.252.115.141,0,2/23/2016 18:44,2/23/2016 18:44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,-76.80000305,-1
R_eyuFdLpGs9gf7EN,Default Response Set,Anonymous,,,69.247.184.219,0,2/23/2016 18:41,2/23/2016 18:46,1,84009, A2Z96TK65BB7LC,1,1,0,0,2.616,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Canada,Brazil,Britain,France,Germany,Russia,China,Japan,South Africa,Australia,Anartica,New Zealand,Argentina,Iceland,Greenland,Croatia,,,,,,,,,5,4,8,2,8,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,1,25,Presentation 1,Team|Competence,f1|sen07p|f2|sen04n|f3|sen06p|f4|sen08n|f5|sen02n|f6|sen03p|f7|sen01p|f8|sen05n,,,,sen6|sen5|sen2|sen7|sen3|sen8|sen1|sen4,,,,team_inst|team6|team4|team3|team2|team5|team8|team1|team7,Q140|comp1|comp4|comp5|comp8|comp3|comp7|comp6|comp2,1|2|3|4|5|6|7|8,7|5|8|6|1|4|3|2,,,,,,1|6|8|2|4|7|3|5,,,2|3|8|7|6|1|4|5,,,,,,8|3|1|7|6|5|4|2,,,,3|4|2|8|7|6|1|5,,4|2|8|3|6|7|5|1,,,,,3|7|8|5|4|1|6|2,,,,,32.59790039,-92.02349854,-1
R_6zdc3I9KB6XryLz,Default Response Set,Anonymous,,,172.74.228.71,0,2/23/2016 18:41,2/23/2016 18:46,1,17425,A1BQCRF5Q76YFY,1,1,0,0,34.811,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Canada,England,Europe,,,,,,,,,,,,,,,,,,,,,,4,7,6,5,8,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,2,36,Presentation 1,Competence|Team,f1|sen01p|f2|sen02n|f3|sen03p|f4|sen05n|f5|sen04n|f6|sen07p|f7|sen06p|f8|sen08n,,,,sen1|sen3|sen8|sen6|sen5|sen2|sen7|sen4,,,,team_inst|team4|team5|team8|team7|team6|team3|team2|team1,Q140|comp5|comp6|comp7|comp3|comp4|comp8|comp1|comp2,1|2|3|4|5|6|7|8,2|4|6|8|7|3|5|1,,,,,,4|3|7|8|6|5|2|1,,,3|2|8|5|7|1|4|6,,,,,,5|3|6|2|8|1|7|4,,,,4|6|1|2|5|3|7|8,,5|2|4|6|8|1|7|3,,,,,6|8|3|4|5|1|7|2,,,,,33.90750122,-81.23010254,-1
R_6AmH2tbln1uESAl,Default Response Set,Anonymous,,,96.224.64.71,0,2/23/2016 18:41,2/23/2016 18:47,1,60455,A17J1CE7N49Z9D,1,1,0,0,32.893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,usa,china,russia,mexico,spain,britain,france,japan,phillipines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,5,8,8,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,22,Presentation 2 inverse,Competence|Team,,,,f1|sen27n|f2|sen26p|f3|sen30n|f4|sen29p|f5|sen28p|f6|sen31n|f7|sen25n|f8|sen32p,,,,sen30|sen26|sen32|sen27|sen31|sen28|sen29|sen25,team_inst|team2|team6|team4|team7|team1|team8|team3|team5,Q140|comp4|comp1|comp5|comp6|comp8|comp2|comp3|comp7,,,3|8|7|6|2|1|5|4,,5|8|2|4|6|7|3|1,,,,,,,1|2|3|4|5|6|7|8,,,,1|5|2|7|4|8|3|6,,,,8|3|6|4|2|7|5|1,,,,,,,3|1|5|7|2|8|4|6,,3|6|8|1|5|2|4|7,,,5|7|1|3|2|4|8|6,40.87139893,-73.04250336,-1
R_8AGvRFJEnfggcjX,Default Response Set,Anonymous,,,66.157.233.184,0,2/23/2016 18:42,2/23/2016 18:47,1,26309,A2A3QA1VCMLUSX,1,1,0,0,1.716,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,australia,america,france,iran,iraq,peru,brazil,mexico,canada,new zealand,south africa,uganda,afganistan,pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,8,7,5,6,3,,,,,,,,,1,7,7,1,1,7,7,7,1,1,7,7,4,4,7,7,7,4,2,28,Presentation 2,Competence|Team,,,f1|sen19p|f2|sen21n|f3|sen22p|f4|sen24n|f5|sen20n|f6|sen23p|f7|sen17p|f8|sen18n,,,,sen24|sen19|sen23|sen22|sen17|sen18|sen20|sen21,,team_inst|team4|team8|team6|team7|team3|team5|team1|team2,Q140|comp7|comp1|comp2|comp8|comp6|comp4|comp3|comp5,,,,3|5|7|4|8|2|1|6,,3|6|8|1|2|5|7|4,,,,,,,1|2|3|4|5|6|7|8,,1|2|8|6|3|7|5|4,,,,7|2|6|3|1|5|8|4,,,,,,3|7|5|8|1|6|4|2,,,,,6|7|3|8|4|2|1|5,6|4|5|8|3|7|1|2,,30.35090637,-81.6446991,-1
R_6fHYulQPGQWVbVj,Default Response Set,Anonymous,,,24.17.55.250,0,2/23/2016 18:42,2/23/2016 18:47,1,35142,A3LKPARORDKLWT,1,1,0,0,0.786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,usa,mexico,canada,uk,japan,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,6,1,4,6,1,5,5,6,3,4,6,4,5,1,6,6,5,6,4,6,4,3,1,20,Presentation 2 inverse,Competence|Team,,,,f1|sen31n|f2|sen28p|f3|sen27n|f4|sen32p|f5|sen26p|f6|sen30n|f7|sen25n|f8|sen29p,,,,sen32|sen29|sen27|sen28|sen30|sen25|sen26|sen31,team_inst|team8|team5|team3|team2|team4|team7|team1|team6,Q140|comp5|comp6|comp3|comp2|comp7|comp1|comp8|comp4,,,5|4|7|6|8|3|2|1,,2|1|7|4|3|5|6|8,,,,,,,1|2|3|4|5|6|7|8,,,,1|8|5|7|3|4|6|2,,,,5|7|3|2|6|1|8|4,,,,,,,1|2|4|3|7|5|8|6,,4|6|7|1|8|3|5|2,,,8|7|2|5|3|4|6|1,46.88409424,-123.9949951,-1
