ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q2,Q5,introtime_1,introtime_2,introtime_3,introtime_4,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,team_inst,team1,team2,team3,team4,team5,team6,team7,team8,Q140,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,sex,age,DO-BR-FL_19,DO-BR-FL_37,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Recall1,DO-BL-Team,DO-BL-Competence,DO-Q-sen2,DO-Q-sen1,DO-Q-sen6,DO-Q-sen3,DO-Q-sen5,DO-Q-sen7,DO-Q-sen8,DO-Q-sen4,LocationLatitude,LocationLongitude,LocationAccuracy
R_e2mx7dPlghJxJiJ,Default Response Set,Anonymous,,,43.242.117.171,0,29/02/16 22:35,29/02/16 22:35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03329468,72.61669922,-1
R_2fyCWvNRGGGFMax,Default Response Set,Anonymous,,,73.166.200.57,0,29/02/16 22:33,29/02/16 22:38,1,611221,A1GABEPSX2V15F,1,1,0,0,10.014,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,france,canada,mexico,united states,russia,australia,new zealand,,,,,,,,,,,,,,,,,,,5,5,7,4,7,2,4,2,1,3,5,3,5,5,4,3,4,1,4,5,3,3,5,5,5,3,1,28,Presentation 1 inverse,Competence|Team,,f1|sen08n|f2|sen04p|f3|sen06n|f4|sen01p|f5|sen03p|f6|sen07n|f7|sen05n|f8|sen02p,sen2|sen5|sen8|sen3|sen1|sen6|sen7|sen4,team_inst|team1|team2|team8|team3|team5|team7|team4|team6,Q140|comp2|comp8|comp7|comp3|comp1|comp6|comp4|comp5,7|3|6|1|4|5|2|8,1|2|3|4|5|6|7|8,3|8|7|1|4|6|5|2,6|1|2|7|3|5|4|8,1|2|7|4|6|5|3|8,2|6|4|8|7|5|1|3,6|1|4|3|5|8|2|7,2|1|8|4|5|7|6|3,30.00160217,-95.44750214,-1
R_24RKw0ckIr74FMN,Default Response Set,Anonymous,,,86.132.230.125,0,29/02/16 22:38,29/02/16 22:38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8500061,0.483306885,-1
R_6R8LUbzsxqgnpQx,Default Response Set,Anonymous,,,76.5.144.66,0,29/02/16 22:33,29/02/16 22:38,1,110301,A302DLVO80RFTH,1,1,0,0,14.444,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,China,Australia ,Germany,Japan,North Korea,South Korea,Canada,Mexico,Ukraine ,,,,,,,,,,,,,,,,2,6,7,1,3,8,4,7,1,4,2,6,7,2,5,7,5,1,5,4,3,7,6,2,3,7,2,25,Presentation 1,Competence|Team,f1|sen04p|f2|sen07n|f3|sen03p|f4|sen05n|f5|sen08n|f6|sen02p|f7|sen01p|f8|sen06n,,sen2|sen5|sen6|sen7|sen8|sen4|sen3|sen1,team_inst|team6|team2|team7|team8|team4|team5|team1|team3,Q140|comp1|comp6|comp8|comp2|comp5|comp7|comp4|comp3,6|5|2|3|8|7|4|1,1|2|3|4|5|6|7|8,2|5|1|4|3|7|8|6,4|1|7|2|8|3|6|5,1|6|2|8|7|5|3|4,4|3|2|5|7|1|6|8,5|8|3|7|4|2|1|6,3|6|8|4|2|1|5|7,36.41990662,-82.11389923,-1
R_aX0etvlFG76cHvn,Default Response Set,Anonymous,,,186.159.134.98,0,29/02/16 22:38,29/02/16 22:38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.933303833,-84.08329773,-1
R_3ypN5IozeoL53LL,Default Response Set,Anonymous,,,67.187.65.41,0,29/02/16 22:33,29/02/16 22:38,1,188270,A33PDF03E6TRU0,1,1,0,0,36.074,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Canada,Mexico,Brazil,Germany,England,Ireland,Scotland,Netherlands,Denmark,Turkey,Iraq,Iran,Afganistan,Kenya,China,Russia,China,Taiwan,South Korea,North Korea,Israe,,,,5,3,1,6,5,8,4,2,1,5,3,4,5,3,4,5,3,1,5,3,4,5,3,4,5,4,2,30,Presentation 1,Team|Competence,f1|sen03p|f2|sen07n|f3|sen01p|f4|sen08n|f5|sen05n|f6|sen04p|f7|sen02p|f8|sen06n,,sen1|sen8|sen4|sen6|sen2|sen7|sen3|sen5,team_inst|team3|team8|team4|team1|team2|team6|team7|team5,Q140|comp1|comp6|comp2|comp4|comp8|comp3|comp5|comp7,2|8|1|6|3|4|7|5,1|2|3|4|5|6|7|8,8|4|2|5|6|1|3|7,3|6|2|4|8|5|1|7,5|7|1|4|3|8|2|6,6|2|7|3|1|5|8|4,7|2|3|6|8|1|5|4,1|2|4|6|8|5|3|7,36.64079285,-87.47180176,-1
R_2odPW0BhACK8T0F,Default Response Set,Anonymous,,,68.8.190.103,0,29/02/16 22:33,29/02/16 22:38,1,123045,A38HFMRXB5Q13M,1,1,0,0,33.374,0,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,Algeria,Bulgaria,Cambodia,Dominican Republic,Egypt,France,The Gambia,Hungary,Iran,Pakistan,Qatar,Russia,Syria,Turkey,Uruguay,Vietnam,Yemen,,,,,,,,,2,5,8,3,7,5,6,4,1,7,6,5,4,5,4,4,5,1,3,6,3,4,6,4,5,5,2,28,Presentation 1 inverse,Competence|Team,,f1|sen08n|f2|sen01p|f3|sen07n|f4|sen03p|f5|sen02p|f6|sen06n|f7|sen05n|f8|sen04p,sen7|sen5|sen2|sen3|sen8|sen6|sen4|sen1,team_inst|team5|team2|team7|team1|team6|team3|team8|team4,Q140|comp1|comp7|comp6|comp5|comp8|comp2|comp3|comp4,1|4|7|3|8|6|5|2,1|2|3|4|5|6|7|8,3|5|2|4|6|8|7|1,5|6|3|2|1|7|4|8,6|5|8|3|4|1|2|7,4|7|3|6|8|2|5|1,7|6|4|2|5|3|8|1,6|4|3|5|2|8|7|1,33.0500946,-117.2528,-1
R_cABbM5stCegfQwd,Default Response Set,Anonymous,,,104.172.45.172,0,29/02/16 22:33,29/02/16 22:38,1,956601,A2BZJAUH0XPO54,1,1,1.265,2.134,12.386,2,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,United States of America,Afghanistan,Botswana,Brazil,France,Egypt,Dominican Republic,New Zealand,North Korea,South Korea,Nigeria,Mongolia,Mexico,Mali,Pakistan,,,,,,,,,,,3,5,4,8,1,2,8,5,1,3,3,3,5,4,4,4,5,1,4,3,3,5,4,4,4,5,1,22,Presentation 1 inverse,Team|Competence,,f1|sen05n|f2|sen02p|f3|sen08n|f4|sen01p|f5|sen03p|f6|sen06n|f7|sen07n|f8|sen04p,sen6|sen8|sen5|sen4|sen7|sen2|sen1|sen3,team_inst|team2|team5|team1|team8|team4|team6|team3|team7,Q140|comp4|comp6|comp8|comp3|comp5|comp2|comp1|comp7,7|8|4|3|1|2|5|6,1|2|3|4|5|6|7|8,5|7|1|8|4|6|3|2,5|8|7|6|4|3|1|2,6|7|5|8|2|4|1|3,8|5|3|6|4|2|7|1,7|1|6|3|2|5|4|8,5|6|8|7|1|4|3|2,33.97819519,-117.9039993,-1
R_0eTOOrURYbjeQjr,Default Response Set,Anonymous,,,108.171.131.168,0,29/02/16 22:33,29/02/16 22:39,1,607958,AEF74ZYJTTEIA,1,1,19.468,35.93,37.182,8,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Canada,Mexico,Russia,Italy,Germany,France,Spain,Portugal,UK,Ireland,Iraq,Iran,Eqypt,South Africa,China,Mongolia,Vietnam,India,Pakistan,Afghanistan,Israel,Saudi Arabia,Turkey,Greece,7,1,7,3,5,8,2,4,1,7,3,3,2,2,3,5,6,1,3,3,2,2,3,3,6,5,1,37,Presentation 1,Team|Competence,f1|sen02p|f2|sen07n|f3|sen01p|f4|sen08n|f5|sen05n|f6|sen03p|f7|sen04p|f8|sen06n,,sen5|sen2|sen3|sen4|sen6|sen1|sen8|sen7,team_inst|team6|team7|team8|team1|team2|team4|team3|team5,Q140|comp1|comp2|comp7|comp4|comp8|comp5|comp3|comp6,7|6|4|5|2|8|3|1,1|2|3|4|5|6|7|8,3|6|4|2|8|1|5|7,8|7|6|1|2|5|3|4,8|6|7|1|2|5|4|3,7|5|2|4|6|3|1|8,4|1|7|8|6|3|2|5,1|2|4|7|6|3|8|5,42.01519775,-87.99009705,-1
R_e4FDdAIHnMZFxWd,Default Response Set,Anonymous,,,69.206.150.127,0,29/02/16 22:33,29/02/16 22:39,1,818272,A29A2MQMPJW1O9,1,1,0,0,44.433,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,France,Italy,Mexico,Soviet Union,Turkey,Russia,Canada,United States,Germany,,,,,,,,,,,,,,,,,7,7,5,6,7,6,7,1,1,6,6,5,6,6,6,5,6,1,6,6,6,6,6,6,6,6,2,37,Presentation 1,Competence|Team,f1|sen03p|f2|sen07n|f3|sen02p|f4|sen05n|f5|sen08n|f6|sen04p|f7|sen01p|f8|sen06n,,sen1|sen2|sen6|sen7|sen4|sen5|sen8|sen3,team_inst|team7|team8|team6|team3|team4|team2|team5|team1,Q140|comp5|comp7|comp1|comp2|comp8|comp4|comp6|comp3,5|8|6|3|2|7|1|4,1|2|3|4|5|6|7|8,7|3|4|6|1|5|8|2,1|7|3|2|6|4|5|8,4|5|6|3|2|1|7|8,6|5|8|1|2|3|7|4,2|5|8|7|1|3|6|4,4|1|6|3|2|8|7|5,41.74890137,-74.44670105,-1
