ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q5,time_1,time_2,time_3,time_4,f1,comp1,f2,comp2,f3,comp3,f4,comp4,f5,inco5,f6,inco6,f7,inco7,f8,inco8,f1,comp9,f2,comp10,f3,comp11,f4,comp12,f5,inco13,f6,inco14,f7,inco15,f8,inco16,f1,inco1,f2,inco2,f3,inco3,f4,inco4,f5,comp5,f6,comp6,f7,comp7,f8,comp8,f1,inco9,f2,inco10,f3,inco11,f4,inco12,f5,comp13,f6,comp14,f7,comp15,f8,comp16,sex,age,DO-BR-FL_45,DO-BL-Sentences1,DO-BL-Sentences2,LocationLatitude,LocationLongitude,LocationAccuracy
R_3yEwm6ZnFjnS4pD,Default Response Set,Anonymous,,,208.70.93.74,0,29/02/16 15:27,29/02/16 15:27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30000305,-62.71669769,-1
R_8Dq0Fe4FzLlamnr,Default Response Set,Anonymous,,,32.212.225.37,0,29/02/16 15:26,29/02/16 15:28,1,36672,A18LPAFMK1B06K,1,0,0,1.254,0,1,5,1,3,1,3,1,4,1,5,1,3,1,3,1,3,1,5,1,3,1,5,1,5,1,3,1,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,Sentences1,f1|comp10|f2|inco5|f3|comp3|f4|comp12|f5|comp4|f6|inco6|f7|comp11|f8|inco15|f1|inco13|f2|comp2|f3|inco7|f4|comp9|f5|comp1|f6|inco8|f7|inco16|f8|inco14,,41.83650208,-72.46320343,-1
R_9Z8M7phIX77saQR,Default Response Set,Anonymous,,,72.185.194.128,0,29/02/16 15:26,29/02/16 15:28,1,23106,ADT6AD3LK64AH,1,0,0,1.689,0,1,4,1,3,1,5,1,6,1,5,1,5,1,5,1,5,1,3,1,5,1,4,1,4,1,6,1,4,1,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,Sentences1,f1|inco7|f2|comp12|f3|comp3|f4|comp4|f5|inco14|f6|inco8|f7|comp9|f8|comp11|f1|inco5|f2|inco15|f3|comp1|f4|inco6|f5|comp2|f6|inco16|f7|comp10|f8|inco13,,27.78970337,-82.728302,-1
R_1Xt9MY1UmvHbcKp,Default Response Set,Anonymous,,,46.99.74.104,8,29/02/16 15:28,29/02/16 15:28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,20,-1
R_8qYqJFftv4pGmcB,Default Response Set,Anonymous,,,107.15.157.110,0,29/02/16 15:27,29/02/16 15:29,1,40420,A1NKBXOTZAI1YK,1,6.218,9.2,32.985,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,5,1,5,1,5,1,5,1,2,1,1,1,3,1,5,1,7,1,7,1,6,1,6,1,29,Sentences2,,f1|comp7|f2|comp5|f3|inco4|f4|inco9|f5|comp16|f6|comp14|f7|comp13|f8|inco3|f1|comp8|f2|inco10|f3|inco11|f4|inco1|f5|inco12|f6|inco2|f7|comp15|f8|comp6,35.8480072,-78.70040131,-1
R_3K9xGzwFCaJ1T01,Default Response Set,Anonymous,,,72.64.113.13,0,29/02/16 15:26,29/02/16 15:29,1,28931,A3FRH36NOROTS6,1,4.869,5.423,6.904,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,1,2,1,4,1,3,1,4,1,3,1,4,1,5,1,3,1,4,1,3,1,6,1,3,1,4,1,5,1,21,Sentences2,,f1|comp8|f2|inco11|f3|inco9|f4|comp7|f5|comp6|f6|comp15|f7|comp5|f8|inco12|f1|comp14|f2|inco2|f3|inco1|f4|comp16|f5|inco3|f6|inco4|f7|comp13|f8|inco10,33.00349426,-96.90000153,-1
R_eOKIdwP7F93vjKt,Default Response Set,Anonymous,,,76.176.145.151,0,29/02/16 15:26,29/02/16 15:29,1,48247,A1H6AZSS5DQ0KD,1,0,0,7.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,1,3,1,4,1,5,1,5,1,5,1,6,1,4,1,5,1,4,1,4,1,5,1,6,1,5,1,6,1,23,Sentences2,,f1|inco9|f2|comp13|f3|inco12|f4|comp8|f5|comp6|f6|inco3|f7|comp16|f8|comp15|f1|inco1|f2|inco2|f3|comp5|f4|inco11|f5|inco10|f6|comp14|f7|inco4|f8|comp7,32.80729675,-117.1324005,-1
R_5w05kxEcR8Nefdz,Default Response Set,Anonymous,,,97.93.212.245,0,29/02/16 15:27,29/02/16 15:30,1,60532,A3W6T1WDYXMR3,1,0,0,21.951,0,1,4,1,6,1,6,1,6,1,4,1,1,1,5,1,4,1,4,1,3,1,5,1,5,1,4,1,2,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,Sentences1,f1|comp3|f2|inco14|f3|comp2|f4|inco16|f5|inco7|f6|inco15|f7|comp1|f8|inco13|f1|comp4|f2|inco6|f3|inco8|f4|comp12|f5|comp10|f6|inco5|f7|comp9|f8|comp11,,32.7545929,-97.78759766,-1
R_1U4pIKwZKRVpw33,Default Response Set,Anonymous,,,24.254.56.156,0,29/02/16 15:26,29/02/16 15:30,1,26359,A3D6DQGF78M17W,1,13.218,16.891,47.607,3,1,7,1,7,1,7,1,7,1,2,1,2,1,2,1,2,1,7,1,7,1,7,1,7,1,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40,Sentences1,f1|comp3|f2|comp11|f3|inco16|f4|comp12|f5|comp9|f6|inco7|f7|inco13|f8|inco8|f1|comp1|f2|inco14|f3|inco5|f4|inco15|f5|comp4|f6|comp2|f7|comp10|f8|inco6,,30.1882019,-91.32409668,-1
R_5njn5xxhGGIflcx,Default Response Set,Anonymous,,,107.12.18.53,0,29/02/16 15:27,29/02/16 15:30,1,56530,AZ38576J29BC8,1,21.415,21.415,23.656,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,3,1,2,1,5,1,6,1,6,1,6,1,3,1,4,1,4,1,3,1,7,1,5,1,6,1,6,2,33,Sentences2,,f1|inco1|f2|inco11|f3|inco4|f4|comp6|f5|comp13|f6|comp16|f7|inco2|f8|comp8|f1|comp5|f2|inco9|f3|inco3|f4|comp7|f5|inco10|f6|comp15|f7|comp14|f8|inco12,34.30839539,-77.80280304,-1
R_38gid1ZZuvooXYh,Default Response Set,Anonymous,,,96.32.109.175,0,29/02/16 15:28,29/02/16 15:30,1,61599,A2JCK494NV7TFX,1,0,0,29.204,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,3,1,2,1,7,1,5,1,6,1,7,1,2,1,2,1,2,1,4,1,7,1,7,1,7,1,7,1,33,Sentences2,,f1|comp13|f2|comp7|f3|inco3|f4|inco4|f5|inco12|f6|comp16|f7|comp5|f8|inco2|f1|comp15|f2|inco11|f3|inco9|f4|comp14|f5|comp6|f6|comp8|f7|inco10|f8|inco1,34.90109253,-82.2661972,-1
R_9XoElTfeLbBqnxH,Default Response Set,Anonymous,,,104.138.162.178,0,29/02/16 15:27,29/02/16 15:30,1,93313,A3OIUZPRX1LFYB,1,0,0,48.322,0,1,7,1,2,1,5,1,6,1,7,1,2,1,7,1,1,1,4,1,2,1,2,1,3,1,3,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,Sentences1,f1|comp1|f2|inco15|f3|comp4|f4|comp9|f5|comp2|f6|inco8|f7|inco16|f8|inco13|f1|comp10|f2|inco14|f3|comp3|f4|comp12|f5|inco7|f6|inco6|f7|inco5|f8|comp11,,36.02200317,-80.29139709,-1
R_07fp1qaPsFX8KAB,Default Response Set,Anonymous,,,75.179.22.7,0,29/02/16 15:27,29/02/16 15:30,1,75705,AOMXLBIJ54UJR,1,8.302,9.819,53.787,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,2,1,4,1,5,1,4,1,5,1,4,1,3,1,4,1,4,1,3,1,4,1,5,1,6,1,4,1,29,Sentences2,,f1|comp15|f2|inco2|f3|comp8|f4|comp5|f5|inco4|f6|inco1|f7|inco3|f8|comp14|f1|inco9|f2|comp6|f3|comp16|f4|comp7|f5|comp13|f6|inco12|f7|inco10|f8|inco11,40.75720215,-81.42379761,-1
R_8G332aAbp5UU7qt,Default Response Set,Anonymous,,,173.21.62.176,0,29/02/16 15:28,29/02/16 15:31,1,20271,A248P03SBIGVNH,1,0,0,93.318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,3,1,5,1,7,1,7,1,7,1,4,1,2,1,2,1,2,1,6,1,7,1,5,1,6,2,25,Sentences2,,f1|inco4|f2|comp5|f3|comp15|f4|inco2|f5|inco11|f6|comp8|f7|inco3|f8|comp16|f1|comp13|f2|inco1|f3|inco9|f4|inco10|f5|inco12|f6|comp6|f7|comp7|f8|comp14,30.60609436,-87.85800171,-1
