ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mturkid,Q2,peerprime,peertime_1,peertime_2,peertime_3,peertime_4,leadprime,leadtime_1,leadtime_2,leadtime_3,leadtime_4,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,f1,sen01p,f2,sen02p,f3,sen03p,f4,sen04p,f5,sen05n,f6,sen06n,f7,sen07n,f8,sen08n,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,lead,Q54,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sex,age,DO-BR-FL_37,DO-BR-FL_19,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Recall1,DO-Q-sen2,DO-Q-sen1,DO-Q-lead,DO-Q-sen6,DO-Q-sen3,DO-Q-sen5,DO-Q-sen7,DO-Q-sen8,DO-Q-sen4,LocationLatitude,LocationLongitude,LocationAccuracy
R_3q3OWVxRBDOOJpP,Default Response Set,Anonymous,,,46.99.106.24,0,10/03/16 19:02,10/03/16 19:02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,20,-1
R_3z1Zekwc7kaweKF,Default Response Set,Anonymous,,,70.45.25.155,0,10/03/16 19:02,10/03/16 19:02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42080688,-66.06159973,-1
R_a04Kq4JbzyUYNkF,Default Response Set,Anonymous,,,186.77.145.53,0,10/03/16 19:02,10/03/16 19:02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91670227,-85.91670227,-1
R_0em2EhSitdl1byl,Default Response Set,Anonymous,,,208.70.93.74,0,10/03/16 19:02,10/03/16 19:02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30000305,-62.71669769,-1
R_4TStcmypwQne3KR,Default Response Set,Anonymous,,,79.112.49.12,0,10/03/16 19:02,10/03/16 19:02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77490234,-122.4194031,-1
R_3wLqZb5KVuQSiW1,Default Response Set,Anonymous,,,61.3.74.238,0,10/03/16 19:03,10/03/16 19:03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37530518,78.47439575,-1
R_bI3qSP1x0gbHAB7,Default Response Set,Anonymous,,,71.235.198.251,0,10/03/16 19:00,10/03/16 19:06,1,A149ROBL26JWPJ,1,,,,,,1,3.999,13.475,34.458,11,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,China,Mexico,Japan,USA,Canada,Brazil,Uruguay,Paraguay,South Africa,Egypt,Chad,Chile,Zaire,India,Sri Lanka,Australia,New Zealand,Thailand,North Korea,Russia,South Korea,Phillip,,,,3,1,7,5,3,6,2,8,1,4,1,26,Lead prime,Presentation 1,f1|sen04p|f2|sen05n|f3|sen03p|f4|sen08n|f5|sen06n|f6|sen01p|f7|sen02p|f8|sen07n,,Q54|sen5|sen8|sen1|sen4|sen6|sen2|sen3|sen7,7|6|4|3|2|8|5|1,1|2|3|4|5|6|7|8,6|5|3|8|2|1|4|7,7|2|6|5|4|8|3|1,5|4|2|3|6|1|7|8,8|4|6|2|1|5|3|7,8|7|5|4|6|3|1|2,1|8|4|2|6|7|3|5,7|8|6|1|5|4|3|2,42.75300598,-71.08609772,-1
R_6zIIb5adtX486J7,Default Response Set,Anonymous,,,71.51.162.178,0,10/03/16 19:00,10/03/16 19:06,1,AV5PNRD316L5R,1,1,0,0,31.393,0,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,United States,Canada,Mexico,China,Japan,Netherlands,France,Germany,Portugal,Spain,Colombia,Argentina,South Africa,Chile,Poland,,,,,,,,,,,,1,4,5,6,2,8,1,7,8,1,21,Peer prime,Presentation 1 inverse,,f1|sen06n|f2|sen04p|f3|sen08n|f4|sen01p|f5|sen03p|f6|sen05n|f7|sen07n|f8|sen02p,Q54|sen4|sen7|sen6|sen2|sen5|sen1|sen8|sen3,6|8|4|7|5|1|2|3,1|2|3|4|5|6|7|8,,4|5|8|2|3|6|1|7,1|3|8|5|2|6|7|4,6|1|8|4|7|5|3|2,5|3|2|8|4|1|6|7,7|8|6|4|5|2|3|1,2|1|6|3|5|7|4|8,26.15260315,-81.73639679,-1
R_8BpOkNzH04gPFdP,Default Response Set,Anonymous,,,74.90.30.96,0,10/03/16 19:01,10/03/16 19:06,1,A2XUSD4DG9YHT9,1,,,,,,1,0,0,43.688,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,sweden,usa,norway,germany,italy,russia,china,japan,canada,mexico,argentina,spain,north korea,south korea,brazil,paraguay,,,,,,,,,,6,1,3,7,6,1,4,3,5,7,1,21,Lead prime,Presentation 1,f1|sen04p|f2|sen05n|f3|sen01p|f4|sen08n|f5|sen07n|f6|sen03p|f7|sen02p|f8|sen06n,,Q54|sen1|sen4|sen7|sen3|sen5|sen6|sen8|sen2,4|8|1|5|2|3|6|7,1|2|3|4|5|6|7|8,4|5|2|1|7|8|3|6,3|4|8|7|6|5|2|1,7|2|3|1|4|5|6|8,7|1|4|5|8|2|3|6,7|8|4|5|2|3|6|1,3|2|1|7|6|5|8|4,2|6|7|8|1|3|4|5,41.37930298,-74.73809814,-1
R_1NtKrPUiroxsJjD,Default Response Set,Anonymous,,,174.100.10.184,0,10/03/16 19:01,10/03/16 19:06,1,A292QSLC0BUT0O,1,1,0,0,31.195,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,Canada,USA,Mexico,France,Italy,Japan,south Africa,Chad,Spain,Norway,,,,,,,,,,,,,,,,,1,4,5,6,1,7,2,3,8,1,37,Peer prime,Presentation 1,f1|sen01p|f2|sen06n|f3|sen02p|f4|sen08n|f5|sen05n|f6|sen03p|f7|sen04p|f8|sen07n,,Q54|sen1|sen3|sen8|sen2|sen7|sen5|sen4|sen6,3|7|5|4|6|8|1|2,1|2|3|4|5|6|7|8,,8|6|3|7|5|1|4|2,5|1|3|4|6|7|8|2,5|3|4|1|2|6|7|8,8|6|3|1|5|2|7|4,5|1|2|7|3|4|8|6,5|1|8|3|7|2|4|6,42.10749817,-79.95359802,-1
