ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mturkid,Q2,peerprime,peertime_1,peertime_2,peertime_3,peertime_4,leadprime,leadtime_1,leadtime_2,leadtime_3,leadtime_4,f1,sen01nn,f2,sen02np,f3,sen03pn,f4,sen04pp,f5,sen05np,f6,sen06pn,f7,sen07nn,f8,sen08pp,f1,sen04pp,f2,sen03pn,f3,sen02np,f4,sen01nn,f5,sen08pp,f6,sen07nn,f7,sen06pn,f8,sen05np,countries_1_TEXT,countries_2_TEXT,countries_3_TEXT,countries_4_TEXT,countries_5_TEXT,countries_6_TEXT,countries_7_TEXT,countries_8_TEXT,countries_9_TEXT,countries_10_TEXT,countries_11_TEXT,countries_12_TEXT,countries_13_TEXT,countries_14_TEXT,countries_15_TEXT,countries_16_TEXT,countries_17_TEXT,countries_18_TEXT,countries_19_TEXT,countries_20_TEXT,countries_21_TEXT,countries_22_TEXT,countries_23_TEXT,countries_24_TEXT,countries_25_TEXT,peer,lead,Q54,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sex,age,DO-BR-FL_37,DO-BR-FL_19,DO-BL-Presentation1,DO-BL-Presentation1inverse,DO-BL-Recall1,DO-Q-sen2,DO-Q-lead,DO-Q-peer,DO-Q-sen5,DO-Q-sen1,DO-Q-sen3,DO-Q-sen7,DO-Q-sen4,DO-Q-sen6,DO-Q-sen8,LocationLatitude,LocationLongitude,LocationAccuracy
R_3QOpDKrr0vt6rfD,Default Response Set,Anonymous,,,223.227.51.250,0,04/05/16 16:22,04/05/16 16:22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98330688,77.58331299,-1
R_9uHs5PZtYk8VZMF,Default Response Set,Anonymous,,,122.164.100.224,0,04/05/16 16:23,04/05/16 16:23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08329773,80.28329468,-1
R_3kEgLGaX8GQFpk1,Default Response Set,Anonymous,,,122.15.228.208,0,04/05/16 16:25,04/05/16 16:25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.53329468,73.86669922,-1
R_0x5kPD0n7uthVnT,Default Response Set,Anonymous,,,86.125.171.232,0,04/05/16 16:26,04/05/16 16:26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.54020691,24.54559326,-1
R_ehYQMfEFS6ywyzj,Default Response Set,Anonymous,,,200.107.239.37,0,04/05/16 16:26,04/05/16 16:26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,-88.03330231,-1
R_9Qtix4MDRpDwCwd,Default Response Set,Anonymous,,,76.64.242.91,0,04/05/16 16:27,04/05/16 16:27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44999695,-73.5667038,-1
R_0OCMaUzUIOBQZW5,Default Response Set,Anonymous,,,73.86.255.245,0,04/05/16 16:23,04/05/16 16:28,1,A27O2IILV3S5YS,1,1,9.7,15.95,31.95,3,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,CANADA,MEXICO,ITALY,SPAIN,GERMANY,IRELAND,SCOTLAND,FRANCE,PORTUGAL,ETHIOPIA,LIBYA,SAUDI ARABIA,LEBANON,ISRAEL,ICELAND,GREENLAND,CHINA,JAPAN,NORTH KOREA,,,,,,3,,1,2,3,2,6,6,8,4,6,2,32,Peer prime,Presentation 1,f8|sen01nn|f4|sen02np|f2|sen03pn|f1|sen04pp|f3|sen05np|f7|sen06pn|f5|sen07nn|f6|sen08pp,,Q54|sen3|sen4|sen2|sen8|sen7|sen6|sen1|sen5,3|7|8|2|6|4|5|1,,8|7|6|3|5|4|1|2,7|4|5|8|2|1|6|3,1|2|3|4|5|6|7|8,6|1|2|7|8|5|4|3,6|8|1|7|4|5|3|2,8|2|7|5|3|4|1|6,6|7|2|4|5|1|3|8,4|6|8|3|1|5|7|2,39.46240234,-77.27580261,-1
R_0pR5fitd9OrRrLv,Default Response Set,Anonymous,,,98.70.57.149,0,04/05/16 16:22,04/05/16 16:28,1,A2OL18MGK5LEO7,1,,,,,,1,29.79,37.054,38.071,12,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,Lithuania,United States,Mexico,Canada,Great Britian,Germany,Spain,Russia,China,Australia,India,Morocco,Egypt,Mag,,,,,,,,,,,,,5,1,4,8,5,3,2,3,6,2,1,34,Lead prime,Presentation 1,f2|sen01nn|f7|sen02np|f5|sen03pn|f4|sen04pp|f8|sen05np|f3|sen06pn|f6|sen07nn|f1|sen08pp,,Q54|sen1|sen6|sen5|sen7|sen3|sen2|sen8|sen4,6|7|3|2|1|4|8|5,5|6|3|1|2|4|8|7,,2|4|1|6|8|3|5|7,1|2|3|4|5|6|7|8,8|4|6|2|5|7|3|1,5|6|2|7|1|3|8|4,2|8|1|3|7|6|4|5,8|1|3|7|5|6|2|4,2|3|7|5|4|6|8|1,29.67660522,-82.38549805,-1
R_2t9nIzTSjjkKFj7,Default Response Set,Anonymous,,,38.125.36.194,0,04/05/16 16:22,04/05/16 16:28,1,A3V16ZZMTM0OLM,1,1,0,0,54.042,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Canada,Mexico,France,Germany,Spain,Taiwan,Korea,Japan,China,Thailand,Vietnam,South Africa,Egypt,Ukraine,Russia,Guatemala,Jamaica,Italy,Niger,Afghan,,,,,2,,1,4,3,5,2,7,1,6,1,1,26,Peer prime,Presentation 1,f4|sen01nn|f3|sen02np|f5|sen03pn|f2|sen04pp|f7|sen05np|f1|sen06pn|f6|sen07nn|f8|sen08pp,,Q54|sen4|sen2|sen7|sen6|sen8|sen1|sen5|sen3,1|6|4|5|2|3|8|7,,8|4|6|3|1|5|7|2,7|5|1|3|2|8|6|4,1|2|3|4|5|6|7|8,7|8|6|5|2|3|4|1,7|2|5|1|8|6|3|4,1|3|4|6|8|7|2|5,4|2|7|5|8|3|6|1,7|5|1|8|3|2|6|4,40.64509583,-73.94499969,-1
R_1LyrSLbge6sgHMF,Default Response Set,Anonymous,,,73.172.133.201,0,04/05/16 16:22,04/05/16 16:29,1,A24ZAX5O63WVNI,1,1,0,0,49.132,0,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,canada ,united states of america,mexico,england ,france,germany,russia,greece,spain,jamacia,`brazil,,,,,,,,,,,,,,,5,,1,4,1,8,5,2,6,6,3,1,61,Peer prime,Presentation 1 inverse,,f5|sen04pp|f6|sen03pn|f1|sen02np|f4|sen01nn|f7|sen08pp|f8|sen07nn|f3|sen06pn|f2|sen05np,Q54|sen8|sen4|sen2|sen5|sen3|sen7|sen6|sen1,2|1|3|5|7|8|4|6,,3|8|1|5|7|4|2|6,5|4|6|1|2|8|7|3,1|2|3|4|5|6|7|8,8|3|1|7|2|5|4|6,2|3|6|7|1|5|8|4,7|3|6|1|4|8|2|5,8|1|6|2|5|3|4|7,3|4|8|6|2|7|5|1,39.4631958,-77.95210266,-1
R_e409LA7XPJfrq9D,Default Response Set,Anonymous,,,73.14.39.123,0,04/05/16 16:22,04/05/16 16:29,1,A33QUS4NRVVMTN,1,,,,,,1,0,0,51.719,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,United States,Canada,Japan,China,Afghanistan,Bahamas,Australia,Chile,Colombia,Cuba,Costa Rica,Egypt,France,Iceland,India,Iran,Iraq,,,,,,,,,,8,1,3,4,1,6,2,7,7,8,2,23,Lead prime,Presentation 1,f6|sen01nn|f4|sen02np|f3|sen03pn|f5|sen04pp|f2|sen05np|f1|sen06pn|f7|sen07nn|f8|sen08pp,,Q54|sen2|sen6|sen4|sen5|sen1|sen8|sen7|sen3,6|8|3|5|1|4|7|2,2|6|1|4|5|8|7|3,,2|7|8|6|4|1|5|3,1|2|3|4|5|6|7|8,1|7|8|2|4|3|6|5,1|6|8|3|5|7|4|2,2|4|6|1|8|5|7|3,4|6|2|7|3|8|5|1,8|1|5|7|4|3|2|6,40.52400208,-105.1396027,-1
R_425Q493ddVkuuJD,Default Response Set,Anonymous,,,63.157.105.226,0,04/05/16 16:22,04/05/16 16:29,1,AY3JWZ1R4XVJD,1,1,0,0,55.324,0,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,United States,Canada,Mexico,Germany,Italy,Russia,Vietnam,India,Turkey,Greece,Spain,Portugal,Brazil,Argentina,Sweden,Norway,France,Belgium,,,,,,,,5,,1,7,4,3,5,6,1,2,1,2,44,Peer prime,Presentation 1 inverse,,f5|sen04pp|f3|sen03pn|f4|sen02np|f7|sen01nn|f8|sen08pp|f2|sen07nn|f1|sen06pn|f6|sen05np,Q54|sen7|sen1|sen3|sen5|sen2|sen6|sen8|sen4,8|1|4|6|7|5|3|2,,7|3|2|1|4|5|6|8,6|5|7|1|8|4|3|2,1|2|3|4|5|6|7|8,4|8|6|2|1|5|7|3,4|5|2|3|1|6|8|7,2|8|5|3|1|7|4|6,6|3|7|8|1|4|2|5,3|1|4|6|8|5|2|7,46.16119385,-114.1400986,-1
R_er3zIWq5vGeultH,Default Response Set,Anonymous,,,100.3.125.89,0,04/05/16 16:23,04/05/16 16:29,1,A361EVMLK9O0G1,1,,,,,,1,12.124,12.124,62.678,1,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,united states,canada,mexico,brazil,japan,china,russia,italy,greece,france,spain,portugal,argentina,chile,jamacia,cuba,afganistan,colombuia,peru,vietnam,,,,,,,5,1,8,3,4,4,7,6,6,2,1,32,Lead prime,Presentation 1 inverse,,f5|sen04pp|f4|sen03pn|f7|sen02np|f3|sen01nn|f2|sen08pp|f6|sen07nn|f8|sen06pn|f1|sen05np,Q54|sen7|sen1|sen4|sen3|sen5|sen8|sen6|sen2,5|2|7|6|8|1|4|3,6|8|2|1|4|7|3|5,,4|7|3|2|5|6|8|1,1|2|3|4|5|6|7|8,8|5|2|3|1|7|4|6,6|8|7|2|5|4|1|3,4|5|8|3|1|7|2|6,5|2|3|7|6|4|8|1,2|1|8|5|7|4|6|3,28.15910339,-82.41680145,-1
R_1Lde80smaU5jjwN,Default Response Set,Anonymous,,,98.242.105.208,0,04/05/16 16:23,04/05/16 16:29,1,A2RMOCDLA2JSO5,1,1,0,0,41.607,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USa,canada ,france ,mexico ,england ,china,japan,north korea,south ko,,,,,,,,,,,,,,,,,5,,1,1,7,6,1,4,2,3,7,1,28,Peer prime,Presentation 1,f3|sen01nn|f7|sen02np|f8|sen03pn|f1|sen04pp|f4|sen05np|f6|sen06pn|f2|sen07nn|f5|sen08pp,,Q54|sen4|sen2|sen6|sen8|sen7|sen1|sen5|sen3,7|5|3|8|4|2|6|1,,5|2|3|1|8|7|4|6,6|1|5|2|7|3|8|4,1|2|3|4|5|6|7|8,6|5|2|4|8|1|3|7,5|8|6|2|1|3|7|4,3|4|2|7|5|8|1|6,7|6|1|3|8|4|5|2,5|4|7|1|2|8|6|3,33.9875946,-84.64659882,-1
R_dd4Mv3Ybbg2pONT,Default Response Set,Anonymous,,,72.10.110.109,0,04/05/16 16:23,04/05/16 16:29,1,A12OJY2HM7RLF5,1,,,,,,1,0,0,32.243,0,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,united states,canada,italy,germany,spain,morrocco,nigeria,niger,chad,oman,bahrain,seychelles,india,turkey,netherlands,UK,ireland,scotland,switzerland,russia,china,japan,thailand,australia,new zealand,,6,1,3,3,7,1,8,2,5,8,2,32,Lead prime,Presentation 1,f8|sen01nn|f7|sen02np|f3|sen03pn|f6|sen04pp|f4|sen05np|f5|sen06pn|f2|sen07nn|f1|sen08pp,,Q54|sen2|sen5|sen8|sen7|sen6|sen1|sen4|sen3,6|3|2|1|4|8|7|5,7|1|8|5|2|3|4|6,,4|1|2|8|6|5|3|7,1|2|3|4|5|6|7|8,3|2|6|8|5|4|7|1,1|4|3|2|5|6|7|8,1|7|8|3|5|6|2|4,6|5|3|7|4|8|1|2,2|3|5|6|4|7|8|1,41.77760315,-72.62139893,-1
R_6u1YaOME5Fyq1gx,Default Response Set,Anonymous,,,50.164.6.226,0,04/05/16 16:23,04/05/16 16:29,1,AHUD85SEX0LUO,1,1,0,0,33.574,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,UK,Canada,Denmark,Switzerland,Sweden,Iceland,Greenland,Ireland,Scotland,,,,,,,,,,,,,,,,6,,1,5,8,7,6,3,2,8,1,2,33,Peer prime,Presentation 1,f4|sen01nn|f5|sen02np|f7|sen03pn|f6|sen04pp|f8|sen05np|f2|sen06pn|f1|sen07nn|f3|sen08pp,,Q54|sen8|sen7|sen4|sen6|sen5|sen2|sen1|sen3,6|3|4|5|2|7|1|8,,2|1|7|5|3|8|6|4,7|5|4|6|8|2|3|1,1|2|3|4|5|6|7|8,6|5|7|8|4|1|2|3,2|6|5|4|7|3|1|8,4|6|8|5|7|1|3|2,1|3|4|7|8|5|6|2,1|7|8|5|2|6|3|4,40.6894989,-76.19580078,-1
R_3rdgovWPJWoidEx,Default Response Set,Anonymous,,,208.81.195.196,0,04/05/16 16:23,04/05/16 16:30,1,ASRPEZ6XUT13S,1,1,0,0,32.371,0,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,united states,norway,spain,canada,mexico,peru,germany,france,england,ireland,italy,china,japan,tokyo,cuba,haiti,,,,,,,,,,4,,1,5,7,6,7,3,8,2,1,2,33,Peer prime,Presentation 1,f5|sen01nn|f3|sen02np|f6|sen03pn|f4|sen04pp|f7|sen05np|f2|sen06pn|f8|sen07nn|f1|sen08pp,,Q54|sen6|sen4|sen8|sen3|sen7|sen2|sen5|sen1,5|2|4|6|7|3|8|1,,6|5|4|8|3|7|2|1,5|7|4|1|6|3|8|2,1|2|3|4|5|6|7|8,5|4|8|2|3|6|1|7,2|1|4|7|8|3|5|6,1|3|6|5|4|8|7|2,2|3|7|8|4|1|6|5,3|8|1|6|7|5|2|4,42.47390747,-91.88700104,-1
R_a64YMxAxl56E8Bv,Default Response Set,Anonymous,,,207.173.42.201,0,04/05/16 16:24,04/05/16 16:30,1,AXFU5ZDG5LYMY,1,1,1.983,2.303,33.761,2,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,USA,Canada,Mexico,UK,Germany,France,Spain,Portugal,Belgium,Netherlands,Sweden,Norway,Finland,Iceland,Chad,Niger,Ivory Coast,Japan,China,Taiwan,South Africa,India,Pakistan,Sri Lanka,Saudi Arabia,6,,1,2,8,8,6,4,3,1,5,1,33,Peer prime,Presentation 1,f2|sen01nn|f3|sen02np|f8|sen03pn|f6|sen04pp|f4|sen05np|f5|sen06pn|f1|sen07nn|f7|sen08pp,,Q54|sen3|sen6|sen7|sen5|sen4|sen8|sen2|sen1,2|7|4|5|8|1|3|6,,8|5|1|2|6|7|3|4,4|6|5|2|7|8|1|3,1|2|3|4|5|6|7|8,3|5|6|4|7|2|8|1,8|4|6|3|1|2|7|5,8|6|2|7|5|1|3|4,3|2|4|8|1|7|5|6,4|6|1|2|8|5|3|7,34.50340271,-113.0714035,-1
