ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mturkid,Q5,time_1,time_2,time_3,time_4,f1,warm1,f2,warm2,f3,warm3,f4,warm4,f5,warm5,f6,warm6,f7,cold1,f8,cold2,f2,cold3,f3,cold4,f1,cold5,f4,cold6,sex,age,LocationLatitude,LocationLongitude,LocationAccuracy
R_28Yi9yTzRkberDn,Default Response Set,Anonymous,,,71.194.237.218,0,25/04/16 19:33,25/04/16 19:35,1,AI7YTRYN64K0Z,1,0,0,2.603,0,1,4,1,5,1,5,1,5,1,5,1,5,1,3,1,2,1,2,1,2,1,2,1,2,1,32,41.4631958,-87.69300079,-1
R_0Ss5azs19Vp0VKZ,Default Response Set,Anonymous,,,100.40.68.162,0,25/04/16 19:33,25/04/16 19:35,1,AD1ILDUXZHASF,1,0,0,14.084,0,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,29,41.70080566,-71.39219666,-1
R_bKIN5lul2RVsO2x,Default Response Set,Anonymous,,,96.251.123.74,0,25/04/16 19:34,25/04/16 19:35,1,A2DPKKEEW2I6QK,1,0,0,2.405,0,1,5,1,5,1,4,1,5,1,4,1,3,1,5,1,6,1,5,1,5,1,3,1,5,2,25,34.06140137,-117.1734009,-1
R_dmMc7Dx6IUvsgh7,Default Response Set,Anonymous,,,107.9.23.140,0,25/04/16 19:34,25/04/16 19:36,1,A2PRF5G21RC5G3,1,0,0,30.938,0,1,7,1,6,1,7,1,6,1,6,1,7,1,3,1,2,1,2,1,2,1,3,1,2,1,65,39.42849731,-84.6486969,-1
R_eJ8CdBhzun1eb2d,Default Response Set,Anonymous,,,198.8.80.177,0,25/04/16 19:33,25/04/16 19:36,1,A3QJJR5Y3XE92N,1,0,0,28.231,0,1,4,1,5,1,6,1,5,1,4,1,7,1,3,1,2,1,1,1,3,1,2,1,3,1,35,34.04379272,-118.2512054,-1
R_etWU3QQ9Qy3cnxb,Default Response Set,Anonymous,,,98.30.166.120,0,25/04/16 19:35,25/04/16 19:37,1,A1357D4VKDZ8WF,1,0,0,35.912,0,1,6,1,6,1,6,1,5,1,6,1,7,1,4,1,4,1,4,1,3,1,5,1,4,2,42,41.12449646,-83.12120056,-1
R_9Y5ZlzcfKSpX7yB,Default Response Set,Anonymous,,,108.52.24.2,0,25/04/16 19:37,25/04/16 19:38,1,A161AJDHLJVCLZ,1,1.643,1.643,2.232,1,1,5,1,5,1,5,1,6,1,5,1,5,1,5,1,2,1,2,1,3,1,3,1,4,2,28,39.97590637,-75.36460114,-1
R_aXieNAKwiTJKAVn,Default Response Set,Anonymous,,,99.181.161.132,0,25/04/16 19:35,25/04/16 19:38,1,A2H89JLHUKPMIS,1,0,0,42.537,0,1,7,1,6,1,6,1,6,1,7,1,7,1,5,1,5,1,3,1,4,1,4,1,5,2,71,42.23429871,-88.30680084,-1
R_1RIjoTxbihbAoDP,Default Response Set,Anonymous,,,50.0.88.92,0,25/04/16 19:37,25/04/16 19:38,1,A2359YG3YH3M31,1,2.514,4.015,4.872,4,1,5,1,5,1,5,1,5,1,5,1,5,1,4,1,2,1,4,1,2,1,3,1,3,1,32,37.76069641,-122.4841995,-1
R_9Fal2QHPfELff25,Default Response Set,Anonymous,,,97.47.66.132,0,25/04/16 19:36,25/04/16 19:38,1,A31Q7PWLBCU2X0,1,16.897,16.897,17.331,1,1,6,1,6,1,5,1,5,1,7,1,6,1,3,1,2,1,2,1,2,1,3,1,3,1,25,40.71110535,-73.94689941,-1
